Name,Due Date,Link to search,Status,Industry,Company Size,Titles,Regions,,,,,,,,
Rockwell Industries,12 Feb 2026,,Done,"Hospitals & Healthcare, Pharmaceutical",200  to  500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Soucring, Director of Sourcing","Mumbai, Pune, Chennai, Bengaluru, Hyderabad, Noida, Delhi",,,,,,,,
Linkworks,12 Feb 2026,,Done,"Logistics & Supply Chain, Transportation",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Supply Chain, VP of Supply Chain, Director of Supply Chain, Chief Supply Chain Officer, COO","Mumbai, Pune, Chennai, Bengaluru, Hyderabad, Noida, Delhi",,,,,,,,
Maven Profcon,12 Feb 2026,,Done,Medical devices,11  to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Chief Compliance Officer, Head of Compliance, VP of Compliance, Director of Compliance, Head of QA, VP of QA, Director of QA, Head of Regulatory, VP of Regulatory, Director of Regulatory","United Kingdom, Czech Republic, Finland, Germany, Ireland",,,,,,,,
Infinite Solutions,12 Feb 2026,,Done,"Hospitality, Retail, Logistics",11 to 50 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CFO, Head of Finance, VP of Finance, Director of Finance, Head of Accounts, VP of Accounts, Director of Accounts","New York, Dallas, Boston, Chelsea, Kensington",,,,,,,,
Arlanto,12 Feb 2026,,Done,"Financial Services, Banking",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, Head of IT, VP of IT, Director of IT, Head of Operations, VP of Operations, Director of Operations, CIO","Delhi, Noida, Gurugram, Ahmedabad, Pune, Bengaluru, Mumbai, Navi Mumbai, Thane",,,,,,,,
Triton,12 Feb 2026,,Done,"Mechanical & Industrial Engineering, Automotive, Machinery",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, VP of Operations, Director of Operations, COO, CIO, Head of Technology, VP of Technology, Director of Technology, CTO","Mumbai, Pune, Chennai, Bengaluru, Hyderabad, Noida, Ahmedabad",,,,,,,,
Mtree,12 Feb 2026,,Done,Hospital & Healthcare,500 to 1000 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Havi Engineering,12 Feb 2026,,Done,"Chemical, Oil & Gas",11 to 50 employees,"CEO, Founder, Co-founder, Head of Instrumentation, Manager of Instrumentation, Procurement Head, Project Head, Maintenance Head, Engineering Head, Plant Manager, Operations Head, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Sourcing, VP of Sourcing, Director of Sourcing",united states,,,,,,,,
Edreamz,12 Feb 2026,,Done,"Retail, Apparel & Fashion, Consumer Goods, Financial Services",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, COO, Head of Operations, VP of Operations, Director of Operations",Pune,,,,,,,,
Yodaplus,12 Feb 2026,,Done,"Banking, Financial Services",51 to 200,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Chief Financial Officer, Chief Data Officer, Chief Operating Officer, Chief Analytics Officer, Finance, Business Intelligence, Data & Analytics, Operations","United arab emirates, Saudi Arabia, Qatar, Bahrain, Oman",,,,,,,,
